customer_id,transaction_date,amount,status,email
1,2025-01-15,100,completed,alice@example.com
1,2025-01-15,100,completed,alice@example.com
2,2025-01-20,250,pending,bob@example.com
2,2025-01-20,250,pending,bob@example.com
3,2025-02-01,150,completed,carol@example.com
4,2025-02-05,300,completed,dave@example.com
4,2025-02-05,300,completed,
5,2025-02-10,80,pending,eve@example.com
5,2025-02-10,80,pending,eve@example.com
6,2025-03-01,500,completed,frank@example.com
7,2025-03-05,120,completed,grace@example.com
7,2025-03-05,125,completed,grace@example.com
8,2025-03-10,200,pending,
8,2025-03-10,200,pending,henry@example.com
