customer_id,name,email,amount,quantity,category,region,last_updated,status_date
1,Alice,alice@example.com,100.0,2,Electronics,North,2024-01-10,2024-01-10
2,Bob,,250.0,1,Clothing,South,2024-01-11,2024-01-11
3,Alice,alice@example.com,100.0,2,Electronics,North,2024-01-12,2024-01-12
4,,charlie@example.com,500.0,5,Electronics,East,2024-01-13,
5,Diana,,200.0,3,Books,West,2024-01-14,2024-01-14
6,Eve,eve@example.com,,1,Clothing,North,,2024-01-15
7,Frank,frank@example.com,320.0,,Electronics,South,2024-01-16,2024-01-16
8,Grace,grace@example.com,450.0,4,,East,2024-01-17,2024-01-17
9,Hank,hank@example.com,180.0,2,Books,,2024-01-18,2024-01-18
10,Ivy,ivy@example.com,90.0,1,Clothing,West,2024-01-19,2024-01-19
11,,jane@example.com,310.0,3,Electronics,North,2024-01-20,2024-01-20
12,Karl,,140.0,2,Books,South,,2024-01-21
13,Laura,laura@example.com,,,Clothing,East,2024-01-22,2024-01-22
14,Mike,mike@example.com,275.0,4,Electronics,,2024-01-23,
15,Nancy,nancy@example.com,380.0,3,Books,West,2024-01-24,2024-01-24
16,,oscar@example.com,95.0,1,,North,2024-01-25,2024-01-25
17,Paul,paul@example.com,420.0,5,Electronics,South,2024-01-26,2024-01-26
18,Quinn,,210.0,2,Clothing,East,,2024-01-27
19,Rose,rose@example.com,,1,Books,West,2024-01-28,2024-01-28
20,Sam,sam@example.com,330.0,3,Electronics,North,2024-01-29,2024-01-29
